t[ms];I[10A];Ue[V];P[W];E[J]
29,6;36,61;3,465;126,85;63,42
29,62;36,61;3,465;126,85;63,42
29,64;36,61;3,425;125,39;62,7
29,66;36,61;3,425;125,39;62,7
29,68;36,61;3,425;125,39;62,7
29,7;36,61;3,425;125,39;62,7
29,72;36,22;3,425;124,05;62,02
29,74;36,61;3,425;125,39;62,7
29,76;36,61;3,425;125,39;62,7
29,78;36,61;3,425;125,39;62,7
29,8;36,61;3,425;125,39;62,7
29,82;36,22;3,504;126,91;63,46
29,84;36,61;3,504;128,28;64,14
29,86;36,61;3,425;125,39;62,7
29,88;36,61;3,425;125,39;62,7
29,9;36,61;3,425;125,39;62,7
29,92;36,61;3,504;128,28;64,14
29,94;36,61;3,465;126,85;63,42
29,96;36,61;3,425;125,39;62,7
29,98;36,61;3,425;125,39;62,7
30;36,61;3,465;126,85;63,42
30,02;36,61;3,425;125,39;62,7
30,04;36,61;3,465;126,85;63,42
30,06;36,61;3,425;125,39;62,7
30,08;36,61;3,425;125,39;62,7
30,1;36,61;3,425;125,39;62,7
30,12;36,61;3,425;125,39;62,7
30,14;36,61;3,425;125,39;62,7
30,16;36,61;3,425;125,39;62,7
30,18;36,61;3,425;125,39;62,7
30,2;36,61;3,425;125,39;62,7
30,22;36,61;3,425;125,39;62,7
30,24;36,61;3,425;125,39;62,7
30,26;36,61;3,425;125,39;62,7
30,28;37,01;3,425;126,76;63,38
30,3;36,61;3,504;128,28;64,14
30,32;36,61;3,425;125,39;62,7
30,34;36,61;3,425;125,39;62,7
30,36;36,61;3,425;125,39;62,7
30,38;36,61;3,425;125,39;62,7
30,4;36,22;3,425;124,05;62,02
30,42;36,22;3,543;128,33;64,17
30,44;36,61;3,425;125,39;62,7
30,46;36,61;3,425;125,39;62,7
30,48;36,61;3,504;128,28;64,14
30,5;36,61;3,465;126,85;63,42
30,52;36,22;3,583;129,78;64,89
30,54;36,61;3,425;125,39;62,7
30,56;36,61;3,425;125,39;62,7
30,58;36,61;3,425;125,39;62,7
30,6;36,61;3,465;126,85;63,42
30,62;36,22;3,346;121,19;60,6
30,64;36,61;3,465;126,85;63,42
30,66;36,61;3,425;125,39;62,7
30,68;36,61;3,425;125,39;62,7
30,7;36,61;3,465;126,85;63,42
30,72;36,61;3,465;126,85;63,42
30,74;36,61;3,465;126,85;63,42
30,76;36,61;3,386;123,96;61,98
30,78;36,61;3,425;125,39;62,7
30,8;36,61;3,425;125,39;62,7
30,82;36,61;3,504;128,28;64,14
30,84;36,61;3,465;126,85;63,42
30,86;36,61;3,425;125,39;62,7
30,88;36,61;3,425;125,39;62,7
30,9;36,61;3,465;126,85;63,42
30,92;36,22;3,465;125,5;62,75
30,94;36,61;3,465;126,85;63,42
30,96;36,61;3,504;128,28;64,14
30,98;36,61;3,425;125,39;62,7
31;36,61;3,504;128,28;64,14
31,02;36,61;3,425;125,39;62,7
31,04;36,61;3,465;126,85;63,42
31,06;36,61;3,425;125,39;62,7
31,08;36,61;3,425;125,39;62,7
31,1;36,61;3,465;126,85;63,42
31,12;36,61;3,425;125,39;62,7
31,14;36,61;3,425;125,39;62,7
31,16;36,61;3,425;125,39;62,7
31,18;36,61;3,425;125,39;62,7
31,2;36,61;3,425;125,39;62,7
31,22;36,61;3,425;125,39;62,7
31,24;36,61;3,425;125,39;62,7
31,26;36,61;3,425;125,39;62,7
31,28;37,01;3,425;126,76;63,38
31,3;36,61;3,425;125,39;62,7
31,32;36,22;3,425;124,05;62,02
31,34;36,61;3,465;126,85;63,42
31,36;36,61;3,425;125,39;62,7
31,38;36,61;3,425;125,39;62,7
31,4;36,61;3,465;126,85;63,42
31,42;36,61;3,465;126,85;63,42
31,44;36,61;3,504;128,28;64,14
31,46;36,61;3,465;126,85;63,42
31,48;36,61;3,465;126,85;63,42
31,5;36,61;3,465;126,85;63,42
31,52;36,22;3,504;126,91;63,46
31,54;36,61;3,504;128,28;64,14
31,56;36,61;3,425;125,39;62,7
31,58;36,61;3,425;125,39;62,7
31,6;36,61;3,504;128,28;64,14
31,62;36,22;3,465;125,5;62,75
31,64;36,61;3,504;128,28;64,14
31,66;36,61;3,425;125,39;62,7
31,68;36,61;3,425;125,39;62,7
31,7;36,61;3,425;125,39;62,7
31,72;36,22;3,465;125,5;62,75
31,74;36,61;3,425;125,39;62,7
31,76;36,61;3,465;126,85;63,42
31,78;36,61;3,425;125,39;62,7
31,8;36,61;3,425;125,39;62,7
31,82;36,22;3,504;126,91;63,46
31,84;36,61;3,465;126,85;63,42
31,86;36,61;3,465;126,85;63,42
31,88;36,61;3,425;125,39;62,7
31,9;36,61;3,425;125,39;62,7
31,92;36,22;3,504;126,91;63,46
31,94;36,61;3,504;128,28;64,14
31,96;36,61;3,425;125,39;62,7
31,98;37,01;3,425;126,76;63,38
32;36,61;3,425;125,39;62,7
32,02;36,22;3,504;126,91;63,46
32,04;36,22;3,425;124,05;62,02
32,06;36,61;3,425;125,39;62,7
32,08;36,61;3,465;126,85;63,42
32,1;36,61;3,425;125,39;62,7
32,12;36,61;3,425;125,39;62,7
32,14;36,61;3,465;126,85;63,42
32,16;36,61;3,425;125,39;62,7
32,18;37,01;3,425;126,76;63,38
32,2;36,61;3,425;125,39;62,7
32,22;36,22;3,465;125,5;62,75
32,24;36,61;3,425;125,39;62,7
32,26;36,61;3,425;125,39;62,7
32,28;36,61;3,425;125,39;62,7
32,3;36,61;3,425;125,39;62,7
32,32;36,61;3,465;126,85;63,42
32,34;36,61;3,425;125,39;62,7
32,36;36,61;3,425;125,39;62,7
32,38;36,61;3,504;128,28;64,14
32,4;36,61;3,465;126,85;63,42
32,42;36,22;3,504;126,91;63,46
32,44;36,61;3,504;128,28;64,14
32,46;36,61;3,465;126,85;63,42
32,48;36,61;3,425;125,39;62,7
32,5;36,61;3,465;126,85;63,42
32,52;36,61;3,504;128,28;64,14
32,54;36,22;3,504;126,91;63,46
32,56;36,61;3,465;126,85;63,42
32,58;36,61;3,386;123,96;61,98
32,6;36,61;3,504;128,28;64,14
32,62;36,22;3,504;126,91;63,46
32,64;36,61;3,465;126,85;63,42
32,66;36,61;3,425;125,39;62,7
32,68;36,61;3,425;125,39;62,7
32,7;36,61;3,425;125,39;62,7
32,72;36,22;3,504;126,91;63,46
32,74;36,61;3,504;128,28;64,14
32,76;36,61;3,425;125,39;62,7
32,78;36,61;3,425;125,39;62,7
32,8;36,61;3,425;125,39;62,7
32,82;36,61;3,504;128,28;64,14
32,84;36,61;3,504;128,28;64,14
32,86;36,61;3,425;125,39;62,7
32,88;36,61;3,504;128,28;64,14
32,9;36,61;3,465;126,85;63,42
32,92;36,22;3,504;126,91;63,46
32,94;36,22;3,465;125,5;62,75
32,96;36,61;3,504;128,28;64,14
32,98;36,61;3,504;128,28;64,14
33;36,61;3,425;125,39;62,7
33,02;36,61;3,425;125,39;62,7
33,04;36,22;3,504;126,91;63,46
33,06;36,61;3,465;126,85;63,42
33,08;36,61;3,465;126,85;63,42
33,1;36,61;3,425;125,39;62,7
33,12;36,61;3,465;126,85;63,42
33,14;36,61;3,504;128,28;64,14
33,16;36,61;3,425;125,39;62,7
33,18;37,01;3,425;126,76;63,38
33,2;36,61;3,425;125,39;62,7
33,22;36,61;3,425;125,39;62,7
33,24;36,61;3,425;125,39;62,7
33,26;36,61;3,465;126,85;63,42
33,28;36,61;3,425;125,39;62,7
33,3;36,61;3,425;125,39;62,7
33,32;36,61;3,504;128,28;64,14
33,34;36,22;3,425;124,05;62,02
33,36;36,61;3,504;128,28;64,14
33,38;36,61;3,425;125,39;62,7
33,4;36,61;3,465;126,85;63,42
33,42;36,61;3,465;126,85;63,42
33,44;36,61;3,543;129,71;64,86
33,46;36,61;3,504;128,28;64,14
33,48;36,61;3,425;125,39;62,7
33,5;36,61;3,425;125,39;62,7
33,52;36,61;3,504;128,28;64,14
33,54;36,61;3,504;128,28;64,14
33,56;36,61;3,504;128,28;64,14
33,58;36,61;3,465;126,85;63,42
33,6;36,61;3,425;125,39;62,7
33,62;36,61;3,504;128,28;64,14
33,64;36,22;3,425;124,05;62,02
33,66;36,61;3,504;128,28;64,14
33,68;37,01;3,465;128,24;64,12
33,7;36,61;3,425;125,39;62,7
33,72;36,61;3,504;128,28;64,14
33,74;36,61;3,504;128,28;64,14
33,76;36,61;3,465;126,85;63,42
33,78;36,61;3,504;128,28;64,14
33,8;36,61;3,504;128,28;64,14
33,82;36,61;3,504;128,28;64,14
33,84;36,61;3,425;125,39;62,7
33,86;36,61;3,465;126,85;63,42
33,88;37,01;3,425;126,76;63,38
33,9;36,61;3,465;126,85;63,42
33,92;36,22;3,504;126,91;63,46
33,94;36,22;3,425;124,05;62,02
33,96;36,61;3,504;128,28;64,14
33,98;36,61;3,425;125,39;62,7
34;36,61;3,465;126,85;63,42
34,02;36,61;3,465;126,85;63,42
34,04;36,22;3,543;128,33;64,17
34,06;36,61;3,425;125,39;62,7
34,08;36,61;3,425;125,39;62,7
34,1;36,61;3,465;126,85;63,42
34,12;36,61;3,504;128,28;64,14
34,14;36,61;3,425;125,39;62,7
34,16;36,61;3,425;125,39;62,7
34,18;36,61;3,465;126,85;63,42
34,2;37,01;3,425;126,76;63,38
34,22;36,61;3,465;126,85;63,42
34,24;36,61;3,425;125,39;62,7
34,26;36,61;3,465;126,85;63,42
34,28;36,61;3,425;125,39;62,7
34,3;37,01;3,425;126,76;63,38
34,32;36,61;3,425;125,39;62,7
34,34;36,61;3,504;128,28;64,14
34,36;36,61;3,583;131,17;65,58
34,38;36,61;3,425;125,39;62,7
34,4;36,61;3,504;128,28;64,14
34,42;36,61;3,504;128,28;64,14
34,44;36,61;3,583;131,17;65,58
34,46;36,22;3,504;126,91;63,46
34,48;36,61;3,465;126,85;63,42
34,5;37,01;3,504;129,68;64,84
34,52;36,22;3,543;128,33;64,17
34,54;36,61;3,425;125,39;62,7
34,56;36,22;3,504;126,91;63,46
34,58;36,61;3,504;128,28;64,14
34,6;37,01;3,465;128,24;64,12
34,62;36,61;3,504;128,28;64,14
34,64;36,22;3,504;126,91;63,46
34,66;36,61;3,504;128,28;64,14
34,68;36,61;3,425;125,39;62,7
34,7;37,01;3,465;128,24;64,12
34,72;36,61;3,504;128,28;64,14
34,74;36,61;3,504;128,28;64,14
34,76;36,61;3,425;125,39;62,7
34,78;36,61;3,425;125,39;62,7
34,8;36,61;3,425;125,39;62,7
34,82;36,61;3,465;126,85;63,42
34,84;36,22;3,425;124,05;62,02
34,86;36,61;3,465;126,85;63,42
34,88;36,61;3,465;126,85;63,42
34,9;36,61;3,425;125,39;62,7
34,92;36,61;3,504;128,28;64,14
34,94;36,61;3,425;125,39;62,7
34,96;36,61;3,504;128,28;64,14
34,98;36,61;3,346;122,5;61,25
35;36,61;3,504;128,28;64,14
35,02;36,61;3,504;128,28;64,14
35,04;36,22;3,425;124,05;62,02
35,06;36,61;3,504;128,28;64,14
35,08;36,61;3,425;125,39;62,7
35,1;36,61;3,465;126,85;63,42
35,12;36,61;3,465;126,85;63,42
35,14;36,61;3,504;128,28;64,14
35,16;36,61;3,504;128,28;64,14
35,18;36,61;3,425;125,39;62,7
35,2;36,61;3,425;125,39;62,7
35,22;36,61;3,425;125,39;62,7
35,24;36,61;3,465;126,85;63,42
35,26;36,22;3,465;125,5;62,75
35,28;36,61;3,425;125,39;62,7
35,3;36,61;3,425;125,39;62,7
35,32;36,61;3,504;128,28;64,14
35,34;36,22;3,504;126,91;63,46
35,36;36,61;3,504;128,28;64,14
35,38;36,61;3,504;128,28;64,14
35,4;36,61;3,465;126,85;63,42
35,42;36,61;3,504;128,28;64,14
35,44;36,61;3,504;128,28;64,14
35,46;36,22;3,504;126,91;63,46
35,48;36,61;3,504;128,28;64,14
35,5;36,61;3,425;125,39;62,7
35,52;36,61;3,504;128,28;64,14
35,54;36,61;3,543;129,71;64,86
35,56;36,61;3,504;128,28;64,14
35,58;36,61;3,465;126,85;63,42
35,6;36,61;3,425;125,39;62,7
35,62;36,61;3,465;126,85;63,42
35,64;36,22;3,504;126,91;63,46
35,66;36,61;3,504;128,28;64,14
35,68;36,61;3,425;125,39;62,7
35,7;37,01;3,504;129,68;64,84
35,72;36,61;3,504;128,28;64,14
35,74;36,22;3,504;126,91;63,46
35,76;36,61;3,504;128,28;64,14
35,78;36,61;3,504;128,28;64,14
35,8;37,01;3,425;126,76;63,38
35,82;36,61;3,465;126,85;63,42
35,84;36,61;3,504;128,28;64,14
35,86;36,61;3,504;128,28;64,14
35,88;36,61;3,504;128,28;64,14
35,9;36,61;3,425;125,39;62,7
35,92;36,61;3,504;128,28;64,14
35,94;36,61;3,504;128,28;64,14
35,96;36,61;3,543;129,71;64,86
35,98;36,61;3,504;128,28;64,14
36;36,61;3,465;126,85;63,42
36,02;36,61;3,504;128,28;64,14
36,04;36,61;3,504;128,28;64,14
36,06;36,61;3,504;128,28;64,14
36,08;36,61;3,504;128,28;64,14
36,1;36,61;3,425;125,39;62,7
36,12;36,61;3,465;126,85;63,42
36,14;36,61;3,465;126,85;63,42
36,16;36,61;3,504;128,28;64,14
36,18;36,61;3,425;125,39;62,7
36,2;36,61;3,425;125,39;62,7
36,22;36,61;3,465;126,85;63,42
36,24;36,61;3,504;128,28;64,14
36,26;36,22;3,425;124,05;62,02
36,28;36,61;3,465;126,85;63,42
36,3;36,61;3,425;125,39;62,7
36,32;36,61;3,504;128,28;64,14
36,34;36,61;3,504;128,28;64,14
36,36;36,61;3,504;128,28;64,14
36,38;36,61;3,504;128,28;64,14
36,4;36,61;3,425;125,39;62,7
36,42;36,61;3,504;128,28;64,14
36,44;36,61;3,504;128,28;64,14
36,46;35,83;3,543;126,95;63,48
36,48;36,61;3,504;128,28;64,14
36,5;36,61;3,425;125,39;62,7
36,52;36,61;3,504;128,28;64,14
36,54;36,22;3,504;126,91;63,46
36,56;36,22;3,504;126,91;63,46
36,58;36,61;3,504;128,28;64,14
36,6;36,61;3,504;128,28;64,14
36,62;36,61;3,504;128,28;64,14
36,64;36,61;3,504;128,28;64,14
36,66;36,61;3,504;128,28;64,14
36,68;36,61;3,504;128,28;64,14
36,7;36,61;3,425;125,39;62,7
36,72;36,61;3,465;126,85;63,42
36,74;36,22;3,504;126,91;63,46
36,76;36,61;3,543;129,71;64,86
36,78;36,61;3,504;128,28;64,14
36,8;36,61;3,425;125,39;62,7
36,82;36,61;3,504;128,28;64,14
36,84;36,61;3,543;129,71;64,86
36,86;36,61;3,504;128,28;64,14
36,88;36,61;3,504;128,28;64,14
36,9;36,61;3,504;128,28;64,14
36,92;36,61;3,504;128,28;64,14
36,94;36,61;3,504;128,28;64,14
36,96;36,61;3,504;128,28;64,14
36,98;36,61;3,504;128,28;64,14
37;36,61;3,504;128,28;64,14
37,02;36,61;3,465;126,85;63,42
37,04;36,61;3,504;128,28;64,14
37,06;36,61;3,543;129,71;64,86
37,08;36,61;3,504;128,28;64,14
37,1;36,61;3,425;125,39;62,7
37,12;36,61;3,465;126,85;63,42
37,14;36,61;3,504;128,28;64,14
37,16;36,61;3,504;128,28;64,14
37,18;36,61;3,504;128,28;64,14
37,2;37,01;3,425;126,76;63,38
37,22;36,61;3,425;125,39;62,7
37,24;36,61;3,504;128,28;64,14
37,26;36,61;3,504;128,28;64,14
37,28;36,61;3,504;128,28;64,14
37,3;36,61;3,465;126,85;63,42
37,32;36,61;3,425;125,39;62,7
37,34;36,61;3,504;128,28;64,14
37,36;36,61;3,583;131,17;65,58
37,38;36,61;3,504;128,28;64,14
37,4;36,61;3,504;128,28;64,14
37,42;36,61;3,504;128,28;64,14
37,44;36,61;3,543;129,71;64,86
37,46;36,61;3,504;128,28;64,14
37,48;36,61;3,504;128,28;64,14
37,5;36,61;3,465;126,85;63,42
37,52;36,61;3,465;126,85;63,42
37,54;36,61;3,504;128,28;64,14
37,56;36,22;3,504;126,91;63,46
37,58;36,61;3,504;128,28;64,14
37,6;36,61;3,465;126,85;63,42
37,62;36,61;3,504;128,28;64,14
37,64;36,61;3,504;128,28;64,14
37,66;36,61;3,543;129,71;64,86
37,68;36,61;3,504;128,28;64,14
37,7;36,61;3,465;126,85;63,42
37,72;36,61;3,504;128,28;64,14
37,74;36,61;3,504;128,28;64,14
37,76;36,61;3,465;126,85;63,42
37,78;36,61;3,504;128,28;64,14
37,8;36,61;3,425;125,39;62,7
37,82;36,61;3,465;126,85;63,42
37,84;36,61;3,425;125,39;62,7
37,86;36,61;3,504;128,28;64,14
37,88;36,61;3,504;128,28;64,14
37,9;36,61;3,504;128,28;64,14
37,92;36,61;3,504;128,28;64,14
37,94;36,61;3,425;125,39;62,7
37,96;36,61;3,425;125,39;62,7
37,98;36,22;3,504;126,91;63,46
38;36,61;3,504;128,28;64,14
38,02;36,61;3,504;128,28;64,14
38,04;36,61;3,543;129,71;64,86
38,06;36,61;3,504;128,28;64,14
38,08;36,61;3,504;128,28;64,14
38,1;36,61;3,504;128,28;64,14
38,12;36,61;3,465;126,85;63,42
38,14;36,61;3,504;128,28;64,14
38,16;36,61;3,543;129,71;64,86
38,18;36,61;3,504;128,28;64,14
38,2;36,61;3,465;126,85;63,42
38,22;36,61;3,425;125,39;62,7
38,24;36,61;3,504;128,28;64,14
38,26;36,22;3,661;132,6;66,3
38,28;36,61;3,465;126,85;63,42
38,3;36,61;3,425;125,39;62,7
38,32;37,01;3,504;129,68;64,84
38,34;36,61;3,504;128,28;64,14
38,36;36,61;3,425;125,39;62,7
38,38;36,61;3,504;128,28;64,14
38,4;36,61;3,504;128,28;64,14
38,42;36,61;3,504;128,28;64,14
38,44;36,61;3,504;128,28;64,14
38,46;36,61;3,465;126,85;63,42
38,48;36,61;3,504;128,28;64,14
38,5;36,61;3,504;128,28;64,14
38,52;36,61;3,504;128,28;64,14
38,54;36,61;3,543;129,71;64,86
38,56;36,61;3,583;131,17;65,58
38,58;36,61;3,504;128,28;64,14
38,6;36,61;3,425;125,39;62,7
38,62;36,61;3,504;128,28;64,14
38,64;36,61;3,504;128,28;64,14
38,66;36,61;3,543;129,71;64,86
38,68;36,61;3,504;128,28;64,14
38,7;36,61;3,504;128,28;64,14
38,72;36,61;3,425;125,39;62,7
38,74;36,61;3,504;128,28;64,14
38,76;36,61;3,543;129,71;64,86
38,78;36,61;3,504;128,28;64,14
38,8;36,61;3,504;128,28;64,14
38,82;36,61;3,504;128,28;64,14
38,84;36,61;3,543;129,71;64,86
38,86;36,22;3,465;125,5;62,75
38,88;36,61;3,504;128,28;64,14
38,9;36,61;3,425;125,39;62,7
38,92;36,61;3,504;128,28;64,14
38,94;36,61;3,504;128,28;64,14
38,96;36,61;3,543;129,71;64,86
38,98;36,61;3,543;129,71;64,86
39;36,61;3,465;126,85;63,42
39,02;36,61;3,504;128,28;64,14
39,04;36,61;3,504;128,28;64,14
39,06;36,61;3,504;128,28;64,14
39,08;36,61;3,504;128,28;64,14
39,1;36,61;3,465;126,85;63,42
39,12;36,61;3,465;126,85;63,42
39,14;36,22;3,425;124,05;62,02
39,16;36,61;3,543;129,71;64,86
39,18;36,61;3,465;126,85;63,42
39,2;36,61;3,425;125,39;62,7
39,22;37,01;3,465;128,24;64,12
39,24;36,61;3,465;126,85;63,42
39,26;36,61;3,504;128,28;64,14
39,28;36,22;3,504;126,91;63,46
39,3;36,61;3,504;128,28;64,14
39,32;36,61;3,425;125,39;62,7
39,34;36,61;3,504;128,28;64,14
39,36;36,22;3,504;126,91;63,46
39,38;36,61;3,543;129,71;64,86
39,4;36,61;3,504;128,28;64,14
39,42;36,61;3,504;128,28;64,14
39,44;36,61;3,504;128,28;64,14
39,46;36,61;3,543;129,71;64,86
39,48;36,61;3,504;128,28;64,14
39,5;36,61;3,543;129,71;64,86
39,52;36,61;3,504;128,28;64,14
39,54;36,61;3,504;128,28;64,14
39,56;36,61;3,543;129,71;64,86
39,58;36,61;3,543;129,71;64,86
39,6;36,61;3,504;128,28;64,14
39,62;36,61;3,425;125,39;62,7
39,64;36,61;3,504;128,28;64,14
39,66;36,61;3,543;129,71;64,86
39,68;36,61;3,504;128,28;64,14
39,7;36,61;3,543;129,71;64,86
39,72;36,61;3,504;128,28;64,14
39,74;36,61;3,504;128,28;64,14
39,76;36,22;3,504;126,91;63,46
39,78;36,61;3,504;128,28;64,14
39,8;36,61;3,504;128,28;64,14
39,82;36,61;3,504;128,28;64,14
39,84;36,61;3,504;128,28;64,14
39,86;36,61;3,504;128,28;64,14
39,88;36,22;3,504;126,91;63,46
39,9;36,61;3,504;128,28;64,14
39,92;36,61;3,504;128,28;64,14
39,94;36,61;3,504;128,28;64,14
39,96;36,22;3,543;128,33;64,17
39,98;36,61;3,543;129,71;64,86
40;36,61;3,504;128,28;64,14
40,02;36,61;3,543;129,71;64,86
40,04;36,61;3,504;128,28;64,14
40,06;36,22;3,543;128,33;64,17
40,08;36,61;3,504;128,28;64,14
40,1;36,61;3,504;128,28;64,14
40,12;36,61;3,504;128,28;64,14
40,14;36,61;3,465;126,85;63,42
40,16;36,61;3,504;128,28;64,14
40,18;36,22;3,504;126,91;63,46
40,2;36,61;3,465;126,85;63,42
40,22;36,61;3,543;129,71;64,86
40,24;36,61;3,504;128,28;64,14
40,26;36,61;3,504;128,28;64,14
40,28;36,22;3,543;128,33;64,17
40,3;36,61;3,504;128,28;64,14
40,32;36,61;3,425;125,39;62,7
40,34;36,61;3,504;128,28;64,14
40,36;36,22;3,504;126,91;63,46
40,38;36,61;3,504;128,28;64,14
40,4;36,61;3,504;128,28;64,14
40,42;36,61;3,504;128,28;64,14
40,44;36,61;3,504;128,28;64,14
40,46;36,61;3,543;129,71;64,86
40,48;36,61;3,504;128,28;64,14
40,5;36,61;3,504;128,28;64,14
40,52;36,61;3,465;126,85;63,42
40,54;36,61;3,504;128,28;64,14
40,56;36,22;3,543;128,33;64,17
40,58;36,61;3,543;129,71;64,86
40,6;36,61;3,504;128,28;64,14
40,62;36,61;3,425;125,39;62,7
40,64;37,01;3,504;129,68;64,84
40,66;36,61;3,465;126,85;63,42
40,68;36,61;3,504;128,28;64,14
40,7;36,61;3,504;128,28;64,14
40,72;36,61;3,504;128,28;64,14
40,74;36,61;3,504;128,28;64,14
40,76;36,61;3,543;129,71;64,86
40,78;36,61;3,504;128,28;64,14
40,8;36,61;3,504;128,28;64,14
40,82;36,61;3,504;128,28;64,14
40,84;36,61;3,504;128,28;64,14
40,86;36,61;3,504;128,28;64,14
40,88;36,22;3,543;128,33;64,17
40,9;36,61;3,504;128,28;64,14
40,92;36,61;3,465;126,85;63,42
40,94;36,61;3,504;128,28;64,14
40,96;36,61;3,504;128,28;64,14
40,98;36,61;3,504;128,28;64,14
41;36,61;3,504;128,28;64,14
41,02;36,61;3,504;128,28;64,14
41,04;36,61;3,465;126,85;63,42
41,06;36,61;3,543;129,71;64,86
41,08;36,61;3,543;129,71;64,86
41,1;36,61;3,504;128,28;64,14
41,12;36,61;3,425;125,39;62,7
41,14;36,61;3,504;128,28;64,14
41,16;36,61;3,504;128,28;64,14
41,18;36,22;3,543;128,33;64,17
41,2;36,61;3,504;128,28;64,14
41,22;36,61;3,425;125,39;62,7
41,24;36,61;3,504;128,28;64,14
41,26;36,61;3,543;129,71;64,86
41,28;36,61;3,465;126,85;63,42
41,3;36,61;3,504;128,28;64,14
41,32;36,61;3,425;125,39;62,7
41,34;36,61;3,504;128,28;64,14
41,36;36,61;3,543;129,71;64,86
41,38;36,22;3,543;128,33;64,17
41,4;36,61;3,543;129,71;64,86
41,42;36,61;3,504;128,28;64,14
41,44;36,61;3,543;129,71;64,86
41,46;36,61;3,543;129,71;64,86
41,48;36,22;3,583;129,78;64,89
41,5;36,22;3,543;128,33;64,17
41,52;36,61;3,543;129,71;64,86
41,54;36,61;3,504;128,28;64,14
41,56;36,61;3,583;131,17;65,58
41,58;36,22;3,504;126,91;63,46
41,6;36,61;3,504;128,28;64,14
41,62;36,61;3,504;128,28;64,14
41,64;36,61;3,504;128,28;64,14
41,66;36,61;3,543;129,71;64,86
41,68;36,61;3,543;129,71;64,86
41,7;36,61;3,504;128,28;64,14
41,72;36,61;3,504;128,28;64,14
41,74;36,61;3,504;128,28;64,14
41,76;36,61;3,504;128,28;64,14
41,78;36,61;3,543;129,71;64,86
41,8;36,61;3,504;128,28;64,14
41,82;36,61;3,465;126,85;63,42
41,84;36,61;3,504;128,28;64,14
41,86;36,61;3,504;128,28;64,14
41,88;36,22;3,504;126,91;63,46
41,9;36,61;3,543;129,71;64,86
41,92;36,61;3,386;123,96;61,98
41,94;36,61;3,504;128,28;64,14
41,96;36,61;3,543;129,71;64,86
41,98;36,22;3,425;124,05;62,02
42;36,61;3,504;128,28;64,14
42,02;36,61;3,504;128,28;64,14
42,04;36,61;3,504;128,28;64,14
42,06;36,61;3,543;129,71;64,86
42,08;36,61;3,661;134,03;67,02
42,1;36,61;3,504;128,28;64,14
42,12;36,61;3,465;126,85;63,42
42,14;36,61;3,504;128,28;64,14
42,16;36,61;3,504;128,28;64,14
42,18;36,22;3,425;124,05;62,02
42,2;36,61;3,504;128,28;64,14
42,22;36,61;3,425;125,39;62,7
42,24;36,61;3,465;126,85;63,42
42,26;36,61;3,504;128,28;64,14
42,28;36,61;3,543;129,71;64,86
42,3;36,61;3,504;128,28;64,14
42,32;36,61;3,504;128,28;64,14
42,34;36,61;3,504;128,28;64,14
42,36;36,61;3,504;128,28;64,14
42,38;36,61;3,583;131,17;65,58
42,4;36,61;3,543;129,71;64,86
42,42;36,61;3,504;128,28;64,14
42,44;36,61;3,504;128,28;64,14
42,46;36,61;3,543;129,71;64,86
42,48;36,61;3,543;129,71;64,86
42,5;36,61;3,543;129,71;64,86
42,52;36,61;3,504;128,28;64,14
42,54;36,61;3,504;128,28;64,14
42,56;36,61;3,504;128,28;64,14
42,58;36,61;3,543;129,71;64,86
42,6;36,61;3,504;128,28;64,14
42,62;36,61;3,583;131,17;65,58
42,64;36,61;3,504;128,28;64,14
42,66;36,61;3,504;128,28;64,14
42,68;36,22;3,465;125,5;62,75
42,7;36,61;3,543;129,71;64,86
42,72;36,61;3,504;128,28;64,14
42,74;36,61;3,504;128,28;64,14
42,76;36,61;3,504;128,28;64,14
42,78;36,61;3,543;129,71;64,86
42,8;36,61;3,543;129,71;64,86
42,82;36,61;3,543;129,71;64,86
42,84;36,61;3,465;126,85;63,42
42,86;36,61;3,504;128,28;64,14
42,88;36,61;3,543;129,71;64,86
42,9;36,22;3,543;128,33;64,17
42,92;36,61;3,504;128,28;64,14
42,94;36,61;3,504;128,28;64,14
42,96;36,61;3,504;128,28;64,14
42,98;36,22;3,583;129,78;64,89
43;36,61;3,543;129,71;64,86
43,02;36,61;3,504;128,28;64,14
43,04;36,61;3,504;128,28;64,14
43,06;36,61;3,543;129,71;64,86
43,08;36,61;3,543;129,71;64,86
43,1;36,61;3,504;128,28;64,14
43,12;36,61;3,504;128,28;64,14
43,14;36,61;3,504;128,28;64,14
43,16;36,61;3,504;128,28;64,14
43,18;36,61;3,543;129,71;64,86
43,2;36,61;3,504;128,28;64,14
43,22;36,61;3,504;128,28;64,14
43,24;36,61;3,504;128,28;64,14
43,26;36,61;3,504;128,28;64,14
43,28;36,61;3,583;131,17;65,58
43,3;36,61;3,543;129,71;64,86
43,32;36,61;3,583;131,17;65,58
43,34;36,61;3,543;129,71;64,86
43,36;36,61;3,504;128,28;64,14
43,38;36,22;3,504;126,91;63,46
43,4;36,61;3,543;129,71;64,86
43,42;36,61;3,543;129,71;64,86
43,44;36,61;3,504;128,28;64,14
43,46;36,61;3,543;129,71;64,86
43,48;36,22;3,583;129,78;64,89
43,5;36,61;3,543;129,71;64,86
43,52;36,61;3,504;128,28;64,14
43,54;36,61;3,504;128,28;64,14
43,56;36,61;3,543;129,71;64,86
43,58;36,61;3,543;129,71;64,86
